ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2019-06-23T19:28:00.000,0.6424,-0.7443,0.1301,-53.83,117.79,179.50
2019-06-23T19:29:00.000,0.6453,-0.7443,0.1302,-55.57,120.56,179.44
2019-06-23T19:30:00.000,0.6443,-0.7463,0.1312,-54.72,120.56,178.63
2019-06-23T19:31:00.000,0.6444,-0.7463,0.1282,-53.87,120.57,177.81
2019-06-23T19:32:00.000,0.6434,-0.7433,0.1301,-56.42,121.47,180.25
2019-06-23T19:33:00.000,0.6443,-0.7443,0.1321,-52.13,119.65,177.86
2019-06-23T19:34:00.000,0.6463,-0.7453,0.1312,-53.87,118.72,177.83
2019-06-23T19:35:00.000,0.6463,-0.7473,0.1302,-53.76,118.69,182.00
2019-06-23T19:36:00.000,0.6453,-0.7453,0.1292,-52.95,119.64,179.51
2019-06-23T19:37:00.000,0.6434,-0.7463,0.1282,-56.46,120.56,178.58
2019-06-23T19:38:00.000,0.6424,-0.7463,0.1311,-54.68,119.63,180.30
2019-06-23T19:39:00.000,0.6434,-0.7443,0.1282,-52.95,120.56,179.51
2019-06-23T19:40:00.000,0.6444,-0.7463,0.1272,-53.85,121.49,178.64
2019-06-23T19:41:00.000,0.6434,-0.7443,0.1311,-55.59,120.56,178.60
2019-06-23T19:42:00.000,0.6454,-0.7453,0.1272,-51.23,118.72,178.73
2019-06-23T19:43:00.000,0.6463,-0.7463,0.1292,-55.57,121.48,179.43
2019-06-23T19:44:00.000,0.6434,-0.7463,0.1272,-53.84,123.34,178.63
2019-06-23T19:45:00.000,0.6444,-0.7483,0.1282,-54.70,117.79,179.48
2019-06-23T19:46:00.000,0.6453,-0.7453,0.1302,-53.87,122.42,177.80
2019-06-23T19:47:00.000,0.6424,-0.7473,0.1312,-51.23,118.72,178.73
2019-06-23T19:48:00.000,0.6434,-0.7463,0.1282,-53.83,119.63,179.49
2019-06-23T19:49:00.000,0.6424,-0.7453,0.1321,-53.83,119.63,179.49
2019-06-23T19:50:00.000,0.6443,-0.7453,0.1312,-55.62,117.80,177.79
2019-06-23T19:51:00.000,0.6433,-0.7463,0.1312,-54.72,119.64,178.63
2019-06-23T19:52:00.000,0.6453,-0.7443,0.1302,-54.74,122.42,177.78
2019-06-23T19:53:00.000,0.6424,-0.7483,0.1282,-53.87,118.72,177.83
2019-06-23T19:54:00.000,0.6443,-0.7453,0.1302,-52.95,119.64,179.51
2019-06-23T19:55:00.000,0.6453,-0.7473,0.1302,-52.08,118.71,179.54
2019-06-23T19:56:00.000,0.6453,-0.7463,0.1282,-55.55,119.63,180.28
2019-06-23T19:57:00.000,0.6444,-0.7473,0.1282,-53.84,122.41,178.63
2019-06-23T19:58:00.000,0.6453,-0.7453,0.1322,-54.76,120.58,176.96
2019-06-23T19:59:00.000,0.6453,-0.7453,0.1292,-54.70,119.63,179.47
2019-06-23T20:00:00.000,0.6443,-0.7453,0.1312,-57.27,122.39,181.05
2019-06-23T20:01:00.000,0.6453,-0.7473,0.1302,-56.49,119.65,177.75
2019-06-23T20:02:00.000,0.6453,-0.7463,0.1292,-54.74,121.50,177.78
2019-06-23T20:03:00.000,0.6424,-0.7433,0.1301,-56.42,120.55,180.25
2019-06-23T20:04:00.000,0.6463,-0.7463,0.1292,-53.85,118.72,178.66
2019-06-23T20:05:00.000,0.6443,-0.7453,0.1312,-56.46,119.64,178.59
2019-06-23T20:06:00.000,0.6444,-0.7463,0.1292,-57.31,118.71,179.41
2019-06-23T20:07:00.000,0.6443,-0.7453,0.1312,-55.57,119.63,179.45
2019-06-23T20:08:00.000,0.6434,-0.7463,0.1292,-53.85,118.72,178.66
2019-06-23T20:09:00.000,0.6443,-0.7463,0.1302,-52.93,120.55,180.34
2019-06-23T20:10:00.000,0.6463,-0.7473,0.1302,-53.83,119.63,179.49
2019-06-23T20:11:00.000,0.6424,-0.7453,0.1301,-55.57,119.63,179.45
2019-06-23T20:12:00.000,0.6443,-0.7453,0.1302,-52.12,122.42,177.84
2019-06-23T20:13:00.000,0.6463,-0.7453,0.1302,-54.70,121.48,179.45
2019-06-23T20:14:00.000,0.6434,-0.7453,0.1311,-59.08,120.56,178.52
2019-06-23T20:15:00.000,0.6434,-0.7453,0.1311,-54.70,118.71,179.48
2019-06-23T20:16:00.000,0.6453,-0.7433,0.1311,-55.52,120.54,181.11
2019-06-23T20:17:00.000,0.6443,-0.7473,0.1312,-54.70,119.63,179.47
2019-06-23T20:18:00.000,0.6443,-0.7463,0.1302,-55.63,120.58,176.93
2019-06-23T20:19:00.000,0.6434,-0.7453,0.1311,-54.67,120.55,180.30
2019-06-23T20:20:00.000,0.6453,-0.7433,0.1311,-53.89,122.43,176.96
2019-06-23T20:21:00.000,0.6473,-0.7493,0.1292,-52.98,119.64,178.68
2019-06-23T20:22:00.000,0.6453,-0.7463,0.1302,-52.91,118.70,181.19
2019-06-23T20:23:00.000,0.6443,-0.7453,0.1312,-57.29,119.62,180.24
2019-06-23T20:24:00.000,0.6453,-0.7473,0.1292,-56.49,118.72,177.76
2019-06-23T20:25:00.000,0.6433,-0.7453,0.1331,-53.82,121.48,179.48
2019-06-23T20:26:00.000,0.6444,-0.7473,0.1282,-59.08,120.56,178.52
2019-06-23T20:27:00.000,0.6443,-0.7473,0.1302,-54.67,120.55,180.30
2019-06-23T20:28:00.000,0.6434,-0.7453,0.1311,-54.76,121.50,176.95
2019-06-23T20:29:00.000,0.6433,-0.7463,0.1312,-53.85,119.64,178.66
2019-06-23T20:30:00.000,0.6434,-0.7453,0.1311,-55.57,120.56,179.44
2019-06-23T20:31:00.000,0.6434,-0.7463,0.1292,-57.31,119.63,179.40
2019-06-23T20:32:00.000,0.6443,-0.7453,0.1312,-54.70,117.79,179.48
2019-06-23T20:33:00.000,0.6443,-0.7453,0.1321,-56.42,119.62,180.26
2019-06-23T20:34:00.000,0.6434,-0.7463,0.1282,-54.66,117.77,181.15
2019-06-23T20:35:00.000,0.6463,-0.7473,0.1292,-53.80,121.48,180.31
2019-06-23T20:36:00.000,0.6453,-0.7463,0.1292,-53.78,117.77,181.17
2019-06-23T20:37:00.000,0.6443,-0.7463,0.1322,-54.67,122.40,180.28
2019-06-23T20:38:00.000,0.6443,-0.7483,0.1302,-54.70,117.79,179.48
2019-06-23T20:39:00.000,0.6434,-0.7483,0.1302,-54.65,121.47,181.12
2019-06-23T20:40:00.000,0.6434,-0.7483,0.1292,-53.80,120.55,180.32
2019-06-23T20:41:00.000,0.6444,-0.7493,0.1282,-53.85,121.49,178.64
2019-06-23T20:42:00.000,0.6434,-0.7433,0.1311,-52.04,118.70,181.21
2019-06-23T20:43:00.000,0.6443,-0.7503,0.1302,-54.67,121.47,180.29
2019-06-23T20:44:00.000,0.6424,-0.7473,0.1312,-52.93,119.63,180.35
2019-06-23T20:45:00.000,0.6463,-0.7453,0.1302,-53.87,120.57,177.81
2019-06-23T20:46:00.000,0.6443,-0.7443,0.1321,-53.78,119.62,181.16
2019-06-23T20:47:00.000,0.6434,-0.7433,0.1301,-56.44,121.48,179.41
2019-06-23T20:48:00.000,0.6443,-0.7473,0.1302,-55.59,117.79,178.63
2019-06-23T20:49:00.000,0.6463,-0.7463,0.1302,-52.10,120.57,178.69
2019-06-23T20:50:00.000,0.6414,-0.7463,0.1291,-56.46,119.64,178.59
2019-06-23T20:51:00.000,0.6463,-0.7433,0.1302,-54.67,120.55,180.30
2019-06-23T20:52:00.000,0.6463,-0.7493,0.1312,-52.95,123.33,179.48
2019-06-23T20:53:00.000,0.6414,-0.7473,0.1282,-54.65,120.54,181.13
2019-06-23T20:54:00.000,0.6443,-0.7463,0.1332,-55.59,120.56,178.60
2019-06-23T20:55:00.000,0.6424,-0.7463,0.1321,-55.55,121.47,180.27
2019-06-23T20:56:00.000,0.6463,-0.7483,0.1312,-56.42,120.55,180.25
2019-06-23T20:57:00.000,0.6443,-0.7473,0.1312,-55.55,120.55,180.27
2019-06-23T20:58:00.000,0.6434,-0.7483,0.1302,-53.78,121.47,181.15
2019-06-23T20:59:00.000,0.6443,-0.7483,0.1312,-52.93,121.48,180.33
2019-06-23T21:00:00.000,0.6424,-0.7453,0.1321,-53.83,118.71,179.50
2019-06-23T21:01:00.000,0.6424,-0.7433,0.1321,-55.55,119.63,180.28
2019-06-23T21:02:00.000,0.6424,-0.7463,0.1292,-55.55,116.85,180.30
